a (a) (Article)
mock (mock,mocks,mocked,mocking) (Verb)
mock (mock) (Adverb)
mock (mock) (Adjective)
mock (mock,mocks,mock's,mocks') (Noun)
model (model,models,modelled,modeled,modelling,modeling) (Verb)
model (model) (Adjective)
model (model,models,model's,models') (Noun)
modern (modern) (Adjective)
modern (modern,moderns,modern's,moderns') (Noun)
mom (mom,moms,mom's,moms') (Noun)
moment (moment,moments,moment's,moments') (Noun)
Monday (Monday,Mondays,Monday's,Mondays') (Noun)
money (money,moneys,monies,money's,moneys') (Noun)
monk (monk,monks,monk's,monks') (Noun)
monkey (monkey,monkeys,monkeyed,monkeying) (Verb)
monkey (monkey,monkeys,monkey's,monkeys') (Noun)
Monsieur (Monsieur,Messieurs,Monsieur's,Messieurs') (Noun)
monster (monster) (Adjective)
monster (monster,monsters,monster's,monsters') (Noun)
monstrous (monstrous) (Adjective)
month (month,months,month's,months') (Noun)
mood (mood,moods,mood's,moods') (Noun)
moody (moody,moodier,moodiest) (Adjective)
moon (moon,moons,mooned,mooning) (Verb)
moon (moon,moons,moon's,moons') (Noun)
moonlight (moonlight,moonlight's) (Noun)
moral (moral) (Adjective)
moral (moral,morals,moral's,morals') (Noun)
more (more) (Pronoun)
much (much,more,most) (Adverb)
much (much,more,most) (Adjective)
more (more,mores,more's,mores') (Noun)
morning (morning,mornings,morning's,mornings') (Noun)
mortal (mortal) (Adverb)
mortal (mortal) (Adjective)
mortal (mortal,mortals,mortal's,mortals') (Noun)
most (most) (Pronoun)
mother (mother,mothers,mothered,mothering) (Verb)
mother (mother) (Adjective)
mother (mother,mothers,mother's,mothers') (Noun)
motion (motion,motions,motioned,motioning) (Verb)
motion (motion,motions,motion's,motions') (Noun)
motive (motive) (Adjective)
motive (motive,motives,motive's,motives') (Noun)
motor (motor,motors,motored,motoring) (Verb)
motor (motor) (Adjective)
motor (motor,motors,motor's,motors') (Noun)
mound (mound,mounds,mounded,mounding) (Verb)
mound (mound,mounds,mound's,mounds') (Noun)
mount (mount,mounts,mounted,mounting) (Verb)
mount (mount,mounts,mount's,mounts') (Noun)
mountain (mountain,mountains,mountain's,mountains') (Noun)
mouse (mouse,mouses,moused,mousing) (Verb)
mouse (mouse,mice,mouse's,mice's) (Noun)
mouth (mouth,mouths,mouthed,mouthing) (Verb)
mouth (mouth,mouths,mouth's,mouths') (Noun)
move (move,moves,moved,moving) (Verb)
move (move,moves,move's,moves') (Noun)
movement (movement,movements,movement's,movements') (Noun)
Mr (Mr,Mr's) (Noun)
much (much,much's) (Noun)
mud (mud,muds,mudded,mudding) (Verb)
mud (mud,muds,mud's,muds') (Noun)
muffle (muffle,muffles,muffled,muffling) (Verb)
muffle (muffle,muffles,muffle's,muffles') (Noun)
mum (mum,mums,mummed,mumming) (Verb)
mum (mum) (Adjective)
mum (mum,mums,mum's,mums') (Noun)
mumble (mumble,mumbles,mumbled,mumbling) (Verb)
mumble (mumble,mumbles,mumble's,mumbles') (Noun)
murder (murder,murders,murdered,murdering) (Verb)
murder (murder,murders,murder's,murders') (Noun)
murmur (murmur,murmurs,murmured,murmuring) (Verb)
murmur (murmur,murmurs,murmur's,murmurs') (Noun)
muscle (muscle,muscles,muscled,muscling) (Verb)
muscle (muscle,muscles,muscle's,muscles') (Noun)
museum (museum,museums,museum's,museums') (Noun)
music (music,musics,music's,musics') (Noun)
musical (musical) (Adjective)
musical (musical,musicals,musical's,musicals') (Noun)
must (must) (ModalVerb)
must (must,musts,must's,musts') (Noun)
mutter (mutter,mutters,muttered,muttering) (Verb)
mutter (mutter,mutters,mutter's,mutters') (Noun)
myrtle (myrtle,myrtles,myrtle's,myrtles') (Noun)
mysterious (mysterious) (Adjective)
mystery (mystery,mysteries,mystery's,mysteries') (Noun)
myth (myth,myths,myth's,myths') (Noun)
nail (nail,nails,nailed,nailing) (Verb)
nail (nail,nails,nail's,nails') (Noun)
name (name,names,named,naming) (Verb)
name (name) (Adjective)
name (name,names,name's,names') (Noun)
nameless (nameless) (Adjective)
nanny (nanny,nannies,nanny's,nannies') (Noun)
narrow (narrow,narrows,narrowed,narrowing) (Verb)
narrow (narrow,narrower,narrowest) (Adjective)
narrow (narrow,narrows,narrow's,narrows') (Noun)
nasty (nasty,nastier,nastiest) (Adjective)
national (national) (Adjective)
national (national,nationals,national's,nationals') (Noun)
native (native) (Adjective)
native (native,natives,native's,natives') (Noun)
natural (natural) (Adjective)
natural (natural,naturals,natural's,naturals') (Noun)
nature (nature,natures,nature's,natures') (Noun)
nay (nay) (Adverb)
nay (nay,nays,nay's,nays') (Noun)
near (near,nears,neared,nearing) (Verb)
near (near) (Preposition)
near (near,nearer,nearest) (Adverb)
near (near,nearer,nearest) (Adjective)
nearby (nearby) (Adverb)
nearby (nearby) (Adjective)
neat (neat,neater,neatest) (Adjective)
necessary (necessary) (Adjective)
necessary (necessary,necessaries,necessary's,necessaries') (Noun)
neck (neck,necks,necked,necking) (Verb)
neck (neck,necks,neck's,necks') (Noun)
need (need,needs,needed,needing) (Verb)
need (need,needs,need's,needs') (Noun)
needle (needle,needles,needled,needling) (Verb)
needle (needle,needles,needle's,needles') (Noun)
neighbourhood (neighbourhood,neighbourhoods,neighbourhood's,neighbourhoods') (Noun)
neither (neither) (Conjunction)
neither (neither) (QuantitativePronoun)
neither (neither) (Adverb)
neither (neither) (Adjective)
nephew (nephew,nephews,nephew's,nephews') (Noun)
nerve (nerve,nerves,nerved,nerving) (Verb)
nerve (nerve,nerves,nerve's,nerves') (Noun)
nervous (nervous) (Adjective)
net (net,nets,netted,netting) (Verb)
net (net) (Adjective)
net (net,nets,net's,nets') (Noun)
never (never) (Adverb)
nevertheless (nevertheless) (Adverb)
new (new,newer,newest) (Adverb)
new (new,newer,newest) (Adjective)
newspaper (newspaper,newspapers,newspaper's,newspapers') (Noun)
next (next) (Preposition)
next (next) (Adverb)
next (next) (Adjective)
nice (nice,nicer,nicest) (Adverb)
nice (nice,nicer,nicest) (Adjective)
nick (nick,nicks,nicked,nicking) (Verb)
nick (nick,nicks,nick's,nicks') (Noun)
nick (nick,nick's) (Noun)
niece (niece,nieces,niece's,nieces') (Noun)
nigh (nigh) (Preposition)
nigh (nigh,nigher,nighest) (Adjective)
night (night) (Adjective)
night (night,nights,night's,nights') (Noun)
nightmare (nightmare,nightmares,nightmare's,nightmares') (Noun)
nine (nine) (Adjective)
nine (nine,nines,nine's,nines') (Noun)
no (no) (Adverb)
no (no) (Adjective)
no (no,noes,no's,noes') (Noun)
noble (noble,nobler,noblest) (Adjective)
noble (noble,nobles,noble's,nobles') (Noun)
nobody (nobody,nobody's) (PronounIndefinite)
nobody (nobody,nobodies,nobody's,nobodies') (Noun)
nod (nod,nods,nodded,nodding) (Verb)
nod (nod,nods,nod's,nods') (Noun)
noise (noise,noises,noised,noising) (Verb)
noise (noise,noises,noise's,noises') (Noun)
none (none) (QuantitativePronoun)
none (none) (Adverb)
nonsense (nonsense) (Adjective)
nonsense (nonsense,nonsense's) (Noun)
noon (noon,noon's) (Noun)
nor (nor) (Conjunction)
normal (normal) (Adjective)
normal (normal,normals,normal's,normals') (Noun)
north (north) (Adverb)
north (north) (Adjective)
north (north,norths,north's,norths') (Noun)
northern (northern) (Adjective)
northward (northward) (Adverb)
northward (northward,northwards,northward's,northwards') (Noun)
nose (nose,noses,nosed,nosing) (Verb)
nose (nose,noses,nose's,noses') (Noun)
nostril (nostril,nostrils,nostril's,nostrils') (Noun)
not (not) (Adverb)
note (note,notes,noted,noting) (Verb)
note (note,notes,note's,notes') (Noun)
nothing (nothing) (Pronoun)
nothing (nothing) (Adverb)
nothing (nothing) (Adjective)
nothing (nothing,nothings,nothing's,nothings') (Noun)
notice (notice,notices,noticed,noticing) (Verb)
notice (notice,notices,notice's,notices') (Noun)
notion (notion,notions,notion's,notions') (Noun)
now (now) (Conjunction)
now (now) (Adverb)
now (now) (Adjective)
now (now,now's) (Noun)
nowhere (nowhere) (Adverb)
nowhere (nowhere,nowheres,nowhere's,nowheres') (Noun)
number (number,numbers,numbered,numbering) (Verb)
numb (numb,number,numbest) (Adjective)
number (number,numbers,number's,numbers') (Noun)
nurse (nurse,nurses,nursed,nursing) (Verb)
nurse (nurse,nurses,nurse's,nurses') (Noun)
oak (oak,oaks,oak's,oaks') (Noun)
obey (obey,obeys,obeyed,obeying) (Verb)
object (object,objects,objected,objecting) (Verb)
object (object,objects,object's,objects') (Noun)
objection (objection,objections,objection's,objections') (Noun)
oblige (oblige,obliges,obliged,obliging) (Verb)
obscure (obscure,obscures,obscured,obscuring) (Verb)
obscure (obscure,obscurer,obscurest) (Adjective)
obscure (obscure,obscures,obscure's,obscures') (Noun)
observation (observation) (Adjective)
observation (observation,observations,observation's,observations') (Noun)
observe (observe,observes,observed,observing) (Verb)
obtain (obtain,obtains,obtained,obtaining) (Verb)
obvious (obvious) (Adjective)
occasion (occasion,occasions,occasioned,occasioning) (Verb)
occasion (occasion,occasions,occasion's,occasions') (Noun)
occasional (occasional) (Adjective)
occupy (occupy,occupies,occupied,occupying) (Verb)
occur (occur,occurs,occurred,occurring) (Verb)
ocean (ocean,oceans,ocean's,oceans') (Noun)
October (October,Octobers,October's,Octobers') (Noun)
odd (odd,odder,oddest) (Adjective)
odour (odour,odours,odour's,odours') (Noun)
of (of) (Preposition)
off (off,offs,offed,offing) (Verb)
off (off) (Preposition)
off (off) (Adverb)
off (off) (Adjective)
offend (offend,offends,offended,offending) (Verb)
offer (offer,offers,offered,offering) (Verb)
offer (offer,offers,offer's,offers') (Noun)
office (office,offices,office's,offices') (Noun)
officer (officer,officers,officered,officering) (Verb)
officer (officer,officers,officer's,officers') (Noun)
official (official) (Adjective)
official (official,officials,official's,officials') (Noun)
often (often) (Adverb)
oh (oh) (Interjection)
oil (oil,oils,oiled,oiling) (Verb)
oil (oil) (Adjective)
oil (oil,oils,oil's,oils') (Noun)
okay (okay,okays,okayed,okaying) (Verb)
okay (okay) (Adjective)
okay (okay,okays,okay's,okays') (Noun)
on (on) (Preposition)
on (on) (Adverb)
on (on) (Adjective)
once (once) (Conjunction)
once (once) (Adverb)
once (once) (Adjective)
one (one,one's,oneself) (PronounPerson2)
one (one) (Adjective)
one (one,ones,one's,ones') (Noun)
onto (onto) (Preposition)
open (open,opens,opened,opening) (Verb)
open (open) (Adverb)
open (open,opener,openest) (Adjective)
open (open,opens,open's,opens') (Noun)
operate (operate,operates,operated,operating) (Verb)
operation (operation,operations,operation's,operations') (Noun)
opinion (opinion,opinions,opinion's,opinions') (Noun)
opportunity (opportunity,opportunities,opportunity's,opportunities') (Noun)
opposite (opposite) (Preposition)
opposite (opposite) (Adverb)
opposite (opposite) (Adjective)
opposite (opposite,opposites,opposite's,opposites') (Noun)
or (or) (Conjunction)
or (or,ors,or's,ors') (Noun)
orange (orange) (Adjective)
orange (orange,oranges,orange's,oranges') (Noun)
order (order,orders,ordered,ordering) (Verb)
order (order,orders,order's,orders') (Noun)
ordinary (ordinary) (Adjective)
ordinary (ordinary,ordinaries,ordinary's,ordinaries') (Noun)
organ (organ,organs,organ's,organs') (Noun)
original (original) (Adjective)
original (original,originals,original's,originals') (Noun)
other (other,other's) (PronounIndefinite)
other (other) (Adverb)
other (other) (Adjective)
other (other,others,other's,others') (Noun)
otherwise (otherwise) (Adverb)
otherwise (otherwise) (Adjective)
ought (ought) (ModalVerb)
we (we,us,our,ours,ourselves) (PronounPerson1)
ourself (ourself) (Pronoun)
out (out,outs,outed,outing) (Verb)
out (out) (Preposition)
out (out) (Adjective)
out (out,outs,out's,outs') (Noun)
outer (outer) (Adjective)
outline (outline,outlines,outlined,outlining) (Verb)
outline (outline,outlines,outline's,outlines') (Noun)
outside (outside) (Preposition)
outside (outside) (Adverb)
outside (outside) (Adjective)
outside (outside,outsides,outside's,outsides') (Noun)
over (over) (Preposition)
over (over) (Adverb)
over (over) (Adjective)
overcome (overcome,overcomes,overcame,overcoming) (Verb)
overcome (overcome) (Adjective)
overhead (overhead) (Adverb)
overhead (overhead) (Adjective)
overhead (overhead,overheads,overhead's,overheads') (Noun)
owl (owl,owls,owl's,owls') (Noun)
own (own,owns,owned,owning) (Verb)
own (own) (Pronoun)
own (own) (Adjective)
owner (owner,owners,owner's,owners') (Noun)
oxford (oxford,oxfords,oxford's,oxfords') (Noun)
pace (pace,paces,paced,pacing) (Verb)
pace (pace) (Preposition)
pace (pace,paces,pace's,paces') (Noun)
pack (pack,packs,packed,packing) (Verb)
pack (pack) (Adjective)
pack (pack,packs,pack's,packs') (Noun)
pad (pad,pads,padded,padding) (Verb)
pad (pad,pads,pad's,pads') (Noun)
page (page,pages,paged,paging) (Verb)
page (page,pages,page's,pages') (Noun)
pain (pain,pains,pained,paining) (Verb)
pain (pain,pains,pain's,pains') (Noun)
painful (painful) (Adjective)
paint (paint,paints,painted,painting) (Verb)
paint (paint,paints,paint's,paints') (Noun)
pair (pair,pairs,paired,pairing) (Verb)
pair (pair,pairs,pair's,pairs') (Noun)
palace (palace,palaces,palace's,palaces') (Noun)
pale (pale,pales,paled,paling) (Verb)
pale (pale,paler,palest) (Adjective)
pale (pale,pales,pale's,pales') (Noun)
palm (palm,palms,palmed,palming) (Verb)
palm (palm,palms,palm's,palms') (Noun)
pan (pan,pans,panned,panning) (Verb)
pan (pan,pans,pan's,pans') (Noun)
panel (panel,panels,panelled,paneled,panelling,paneling) (Verb)
panel (panel,panels,panel's,panels') (Noun)
panic (panic,panics,panicked,panicking) (Verb)
panic (panic) (Adjective)
panic (panic,panics,panic's,panics') (Noun)
pant (pant,pants,panted,panting) (Verb)
pant (pant,pants,pant's,pants') (Noun)
papa (papa,papas,papa's,papas') (Noun)
paper (paper,papers,papered,papering) (Verb)
paper (paper) (Adjective)
paper (paper,papers,paper's,papers') (Noun)
parchment (parchment,parchments,parchment's,parchments') (Noun)
pardon (pardon,pardons,pardoned,pardoning) (Verb)
pardon (pardon,pardons,pardon's,pardons') (Noun)
parent (parent,parents,parented,parenting) (Verb)
parent (parent,parents,parent's,parents') (Noun)
park (park,parks,parked,parking) (Verb)
park (park,parks,park's,parks') (Noun)
parlour (parlour,parlours,parlour's,parlours') (Noun)
part (part,parts,parted,parting) (Verb)
part (part) (Adverb)
part (part) (Adjective)
part (part,parts,part's,parts') (Noun)
particular (particular) (Adjective)
particular (particular,particulars,particular's,particulars') (Noun)
partner (partner,partners,partnered,partnering) (Verb)
partner (partner,partners,partner's,partners') (Noun)
party (party,parties,partied,partying) (Verb)
party (party,parties,party's,parties') (Noun)
pass (pass,passes,passed,passing) (Verb)
pass (pass,passes,pass's,passes') (Noun)
passage (passage,passages,passage's,passages') (Noun)
passe (passe) (Adjective)
passion (passion,passions,passion's,passions') (Noun)
passionate (passionate) (Adjective)
past (past) (Preposition)
past (past) (Adjective)
past (past,pasts,past's,pasts') (Noun)
pat (pat,pats,patted,patting) (Verb)
pat (pat) (Adverb)
pat (pat) (Adjective)
pat (pat,pats,pat's,pats') (Noun)
pat (pat,pat's) (Noun)
patch (patch,patches,patched,patching) (Verb)
patch (patch,patches,patch's,patches') (Noun)
path (path,paths,path's,paths') (Noun)
patience (patience,patience's) (Noun)
patient (patient) (Adjective)
patient (patient,patients,patient's,patients') (Noun)
patrician (patrician) (Adjective)
patrician (patrician,patricians,patrician's,patricians') (Noun)
pattern (pattern,patterns,patterned,patterning) (Verb)
pattern (pattern,patterns,pattern's,patterns') (Noun)
pause (pause,pauses,paused,pausing) (Verb)
pause (pause,pauses,pause's,pauses') (Noun)
pavement (pavement,pavements,pavement's,pavements') (Noun)
paw (paw,paws,pawed,pawing) (Verb)
paw (paw,paws,paw's,paws') (Noun)
pay (pay,pays,paid,paying) (Verb)
pay (pay) (Adjective)
pay (pay,pays,pay's,pays') (Noun)
peace (peace,peaces,peace's,peaces') (Noun)
peaceful (peaceful) (Adjective)
peak (peak,peaks,peaked,peaking) (Verb)
peak (peak) (Adjective)
peak (peak,peaks,peak's,peaks') (Noun)
peculiar (peculiar) (Adjective)
peep (peep,peeps,peeped,peeping) (Verb)
peep (peep,peeps,peep's,peeps') (Noun)
peer (peer,peers,peered,peering) (Verb)
peer (peer,peers,peer's,peers') (Noun)
peeve (peeve,peeves,peeved,peeving) (Verb)
peeve (peeve,peeves,peeve's,peeves') (Noun)
pen (pen,pens,penned,penning) (Verb)
pen (pen,pens,pen's,pens') (Noun)
pencil (pencil,pencils,pencilled,penciled,pencilling,penciling) (Verb)
pencil (pencil,pencils,pencil's,pencils') (Noun)
people (people,peoples,peopled,peopling) (Verb)
people (people,peoples,people's,peoples') (Noun)
per (per) (Preposition)
perceive (perceive,perceives,perceived,perceiving) (Verb)
perch (perch,perches,perched,perching) (Verb)
perch (perch,perches,perch's,perches') (Noun)
Percy (Percy,Percy's) (Noun)
perfect (perfect,perfects,perfected,perfecting) (Verb)
perfect (perfect) (Adjective)
perfect (perfect,perfects,perfect's,perfects') (Noun)
perform (perform,performs,performed,performing) (Verb)
performance (performance,performances,performance's,performances') (Noun)
perhaps (perhaps) (Adverb)
peril (peril,perils,perilled,periled,perilling,periling) (Verb)
peril (peril,perils,peril's,perils') (Noun)
period (period) (Adjective)
period (period,periods,period's,periods') (Noun)
perish (perish,perishes,perished,perishing) (Verb)
permission (permission,permissions,permission's,permissions') (Noun)
permit (permit,permits,permitted,permitting) (Verb)
permit (permit,permits,permit's,permits') (Noun)
person (person,persons,person's,persons') (Noun)
personal (personal) (Adjective)
personal (personal,personals,personal's,personals') (Noun)
personality (personality,personalities,personality's,personalities') (Noun)
persuade (persuade,persuades,persuaded,persuading) (Verb)
pet (pet,pets,petted,petting) (Verb)
pet (pet) (Adjective)
pet (pet,pets,pet's,pets') (Noun)
peter (peter,peters,petered,petering) (Verb)
peter (peter,peter's) (Noun)
petunia (petunia,petunias,petunia's,petunias') (Noun)
phone (phone,phones,phoned,phoning) (Verb)
phone (phone,phones,phone's,phones') (Noun)
photograph (photograph,photographs,photographed,photographing) (Verb)
photograph (photograph,photographs,photograph's,photographs') (Noun)
phrase (phrase,phrases,phrased,phrasing) (Verb)
phrase (phrase,phrases,phrase's,phrases') (Noun)
physical (physical) (Adjective)
physical (physical,physicals,physical's,physicals') (Noun)
physician (physician,physicians,physician's,physicians') (Noun)
pick (pick,picks,picked,picking) (Verb)
pick (pick,picks,pick's,picks') (Noun)
picture (picture,pictures,pictured,picturing) (Verb)
picture (picture,pictures,picture's,pictures') (Noun)
pie (pie,pies,pie's,pies') (Noun)
piece (piece,pieces,pieced,piecing) (Verb)
piece (piece,pieces,piece's,pieces') (Noun)
pierce (pierce,pierces,pierced,piercing) (Verb)
pierce (pierce,pierce's) (Noun)
pig (pig,pigs,pigged,pigging) (Verb)
pig (pig,pigs,pig's,pigs') (Noun)
pile (pile,piles,piled,piling) (Verb)
pile (pile,piles,pile's,piles') (Noun)
pillar (pillar,pillars,pillar's,pillars') (Noun)
pillow (pillow,pillows,pillowed,pillowing) (Verb)
pillow (pillow,pillows,pillow's,pillows') (Noun)
pilot (pilot,pilots,piloted,piloting) (Verb)
pilot (pilot) (Adjective)
pilot (pilot,pilots,pilot's,pilots') (Noun)
pin (pin,pins,pinned,pinning) (Verb)
pin (pin) (Adjective)
pin (pin,pins,pin's,pins') (Noun)
pinch (pinch,pinches,pinched,pinching) (Verb)
pinch (pinch,pinches,pinch's,pinches') (Noun)
pine (pine,pines,pined,pining) (Verb)
pine (pine,pines,pine's,pines') (Noun)
pink (pink,pinks,pinked,pinking) (Verb)
pink (pink,pinker,pinkest) (Adjective)
pink (pink,pinks,pink's,pinks') (Noun)
pipe (pipe,pipes,piped,piping) (Verb)
pipe (pipe,pipes,pipe's,pipes') (Noun)
pirate (pirate,pirates,pirated,pirating) (Verb)
pirate (pirate,pirates,pirate's,pirates') (Noun)
pit (pit,pits,pitted,pitting) (Verb)
pit (pit,pits,pit's,pits') (Noun)
pitch (pitch,pitches,pitched,pitching) (Verb)
pitch (pitch,pitches,pitch's,pitches') (Noun)
pity (pity,pities,pitied,pitying) (Verb)
pity (pity,pity's) (Noun)
place (place,places,placed,placing) (Verb)
place (place,places,place's,places') (Noun)
plain (plain,plainer,plainest) (Adverb)
plain (plain,plainer,plainest) (Adjective)
plain (plain,plains,plain's,plains') (Noun)
plan (plan,plans,planned,planning) (Verb)
plan (plan,plans,plan's,plans') (Noun)
plane (plane,planes,planed,planing) (Verb)
plane (plane) (Adjective)
plane (plane,planes,plane's,planes') (Noun)
planet (planet,planets,planet's,planets') (Noun)
plant (plant,plants,planted,planting) (Verb)
plant (plant,plants,plant's,plants') (Noun)
plastic (plastic) (Adjective)
plastic (plastic,plastics,plastic's,plastics') (Noun)
plate (plate,plates,plated,plating) (Verb)
plate (plate,plates,plate's,plates') (Noun)
platform (platform,platforms,platform's,platforms') (Noun)
play (play,plays,played,playing) (Verb)
play (play,plays,play's,plays') (Noun)
player (player,players,player's,players') (Noun)
pleasant (pleasant,pleasanter,pleasantest) (Adjective)
please (please,pleases,pleased,pleasing) (Verb)
pleasure (pleasure,pleasures,pleasured,pleasuring) (Verb)
pleasure (pleasure,pleasures,pleasure's,pleasures') (Noun)
plenty (plenty) (Adverb)
plenty (plenty) (Adjective)
plenty (plenty,plenty's) (Noun)
plot (plot,plots,plotted,plotting) (Verb)
plot (plot,plots,plot's,plots') (Noun)
plunge (plunge,plunges,plunged,plunging) (Verb)
plunge (plunge,plunges,plunge's,plunges') (Noun)
pocket (pocket,pockets,pocketed,pocketing) (Verb)
pocket (pocket) (Adjective)
pocket (pocket,pockets,pocket's,pockets') (Noun)
poet (poet,poets,poet's,poets') (Noun)
point (point,points,pointed,pointing) (Verb)
point (point,points,point's,points') (Noun)
poison (poison,poisons,poisoned,poisoning) (Verb)
poison (poison) (Adjective)
poison (poison,poisons,poison's,poisons') (Noun)
poke (poke,pokes,poked,poking) (Verb)
poke (poke,pokes,poke's,pokes') (Noun)
pole (pole,poles,poled,poling) (Verb)
pole (pole,poles,pole's,poles') (Noun)
police (police,polices,policed,policing) (Verb)
police (police,police's) (Noun)
polish (polish,polishes,polished,polishing) (Verb)
polish (polish) (Adjective)
polish (polish,polishes,polish's,polishes') (Noun)
polish (polish,polish's) (Noun)
polite (polite,politer,politest) (Adjective)
ponder (ponder,ponders,pondered,pondering) (Verb)
Pont (Pont,Pont's) (Noun)
pony (pony,ponies,pony's,ponies') (Noun)
pool (pool,pools,pooled,pooling) (Verb)
pool (pool,pools,pool's,pools') (Noun)
poor (poor,poorer,poorest) (Adjective)
pop (pop,pops,popped,popping) (Verb)
pop (pop) (Adverb)
pop (pop,pops,pop's,pops') (Noun)
port (port,ports,ported,porting) (Verb)
port (port) (Adjective)
port (port,ports,port's,ports') (Noun)
portrait (portrait,portraits,portrait's,portraits') (Noun)
pose (pose,poses,posed,posing) (Verb)
pose (pose,poses,pose's,poses') (Noun)
position (position,positions,positioned,positioning) (Verb)
position (position,positions,position's,positions') (Noun)
positive (positive) (Adjective)
positive (positive,positives,positive's,positives') (Noun)
possess (possess,possesses,possessed,possessing) (Verb)
possession (possession,possessions,possession's,possessions') (Noun)
possibility (possibility,possibilities,possibility's,possibilities') (Noun)
possible (possible) (Adjective)
possible (possible,possibles,possible's,possibles') (Noun)
post (post,posts,posted,posting) (Verb)
post (post) (Adverb)
post (post,posts,post's,posts') (Noun)
pot (pot,pots,potted,potting) (Verb)
pot (pot,pots,pot's,pots') (Noun)
potato (potato,potatoes,potato's,potatoes') (Noun)
potion (potion,potions,potion's,potions') (Noun)
potter (potter,potters,potter's,potters') (Noun)
pound (pound,pounds,pounded,pounding) (Verb)
pound (pound,pounds,pound's,pounds') (Noun)
pour (pour,pours,poured,pouring) (Verb)
pour (pour,pours,pour's,pours') (Noun)
powder (powder,powders,powdered,powdering) (Verb)
powder (powder,powders,powder's,powders') (Noun)
power (power,powers,powered,powering) (Verb)
power (power,powers,power's,powers') (Noun)
powerful (powerful) (Adjective)
practical (practical) (Adjective)
practice (practice,practices,practiced,practicing) (Verb)
practice (practice,practices,practice's,practices') (Noun)
praise (praise,praises,praised,praising) (Verb)
praise (praise,praises,praise's,praises') (Noun)
pray (pray,prays,prayed,praying) (Verb)
prayer (prayer,prayers,prayer's,prayers') (Noun)
precious (precious) (Adverb)
precious (precious) (Adjective)
precise (precise) (Adjective)
prefer (prefer,prefers,preferred,preferring) (Verb)
preparation (preparation,preparations,preparation's,preparations') (Noun)
prepare (prepare,prepares,prepared,preparing) (Verb)
presence (presence,presences,presence's,presences') (Noun)
present (present,presents,presented,presenting) (Verb)
present (present) (Adjective)
present (present,presents,present's,presents') (Noun)
preserve (preserve,preserves,preserved,preserving) (Verb)
preserve (preserve,preserves,preserve's,preserves') (Noun)
president (president,presidents,president's,presidents') (Noun)
press (press,presses,pressed,pressing) (Verb)
press (press,presses,press's,presses') (Noun)
pressure (pressure,pressures,pressured,pressuring) (Verb)
pressure (pressure,pressures,pressure's,pressures') (Noun)
pretend (pretend,pretends,pretended,pretending) (Verb)
pretend (pretend) (Adjective)
pretty (pretty,pretties,prettied,prettying) (Verb)
pretty (pretty,prettier,prettiest) (Adverb)
pretty (pretty,prettier,prettiest) (Adjective)
pretty (pretty,pretties,pretty's,pretties') (Noun)
prevent (prevent,prevents,prevented,preventing) (Verb)
previous (previous) (Adjective)
prey (prey,preys,preyed,preying) (Verb)
prey (prey,preys,prey's,preys') (Noun)
price (price,prices,priced,pricing) (Verb)
price (price,prices,price's,prices') (Noun)
pride (pride,prides,prided,priding) (Verb)
pride (pride,prides,pride's,prides') (Noun)
prince (prince,princes,prince's,princes') (Noun)
principal (principal) (Adjective)
principal (principal,principals,principal's,principals') (Noun)
principle (principle,principles,principle's,principles') (Noun)
print (print,prints,printed,printing) (Verb)
print (print,prints,print's,prints') (Noun)
prison (prison,prisons,prisoned,prisoning) (Verb)
prison (prison,prisons,prison's,prisons') (Noun)
prisoner (prisoner,prisoners,prisoner's,prisoners') (Noun)
private (private) (Adjective)
private (private,privates,private's,privates') (Noun)
probable (probable) (Adjective)
problem (problem) (Adjective)
problem (problem,problems,problem's,problems') (Noun)
proceed (proceed,proceeds,proceeded,proceeding) (Verb)
process (process,processes,processed,processing) (Verb)
process (process) (Adjective)
process (process,processes,process's,processes') (Noun)
produce (produce,produces,produced,producing) (Verb)
produce (produce,produces,produce's,produces') (Noun)
profession (profession,professions,profession's,professions') (Noun)
professional (professional) (Adjective)
professional (professional,professionals,professional's,professionals') (Noun)
professor (professor,professors,professor's,professors') (Noun)
profound (profound) (Adjective)
program (program,programs,programmed,programming) (Verb)
program (program,programs,program's,programs') (Noun)
progress (progress,progresses,progressed,progressing) (Verb)
progress (progress,progress's) (Noun)
project (project,projects,projected,projecting) (Verb)
project (project,projects,project's,projects') (Noun)
promise (promise,promises,promised,promising) (Verb)
promise (promise,promises,promise's,promises') (Noun)
prompt (prompt,prompts,prompted,prompting) (Verb)
prompt (prompt,prompter,promptest) (Adjective)
prompt (prompt,prompts,prompt's,prompts') (Noun)
proof (proof,proofs,proofed,proofing) (Verb)
proof (proof) (Adjective)
proof (proof,proofs,proof's,proofs') (Noun)
proper (proper) (Adverb)
proper (proper) (Adjective)
proper (proper,propers,proper's,propers') (Noun)
property (property,properties,property's,properties') (Noun)
propose (propose,proposes,proposed,proposing) (Verb)
prospect (prospect,prospects,prospected,prospecting) (Verb)
prospect (prospect,prospects,prospect's,prospects') (Noun)
protect (protect,protects,protected,protecting) (Verb)
protection (protection,protections,protection's,protections') (Noun)
protest (protest,protests,protested,protesting) (Verb)
protest (protest,protests,protest's,protests') (Noun)
proud (proud,prouder,proudest) (Adjective)
prove (prove,proves,proved,proven,proving) (Verb)
provide (provide,provides,provided,providing) (Verb)
pry (pry,pries,pried,prying) (Verb)
